feature,importance
Destination Port,18.59097146525258
Init_Win_bytes_forward,7.348310909571014
Flow IAT Min,6.14286320674003
min_seg_size_forward,5.941057550348356
Init_Win_bytes_backward,5.2483867306738246
Fwd Header Length,4.941889738388056
Fwd IAT Min,3.4587668903945956
PSH Flag Count,3.268705894175591
Bwd Packet Length Std,3.0749614976778554
Flow Bytes/s,2.3935235200527316
Bwd Packets/s,2.284752306138166
Packet Length Std,2.082377480123361
Fwd Packet Length Max,1.9210243751080334
Packet Length Mean,1.9081379619091237
Fwd Packets/s,1.767341606731363
Average Packet Size,1.559765821556566
Bwd IAT Std,1.490949057088369
Flow IAT Mean,1.4050699902658768
Fwd Packet Length Mean,1.3953865101345333
Flow Duration,1.3687544892939527
Bwd Header Length,1.3172679379448058
Fwd IAT Std,1.3116725017598556
Max Packet Length,1.270301774288913
Fwd IAT Total,1.1729040640619268
URG Flag Count,1.0753640851825699
Bwd IAT Min,1.0067217413253031
Idle Min,0.9561322960437638
ACK Flag Count,0.9537749134072666
Bwd Packet Length Min,0.889495732343359
Fwd IAT Mean,0.8743447693299469
Bwd IAT Total,0.8604306814265761
Subflow Fwd Bytes,0.8404409973659747
Bwd Packet Length Mean,0.7941799004248833
Flow IAT Std,0.7660224732511839
act_data_pkt_fwd,0.7366663269188588
Total Fwd Packets,0.6884218844825403
Flow Packets/s,0.6597646121365597
Fwd IAT Max,0.5541051396129935
Total Backward Packets,0.5076806364441114
Flow IAT Max,0.4520061180213156
Bwd IAT Max,0.44819567849513064
Bwd IAT Mean,0.425680505657028
Fwd Packet Length Std,0.4178835867766487
Total Length of Bwd Packets,0.34974619635550797
Down/Up Ratio,0.3484817235374321
Packet Length Variance,0.29624946291417303
Idle Max,0.2880717065630689
Fwd Packet Length Min,0.28755875116509955
Min Packet Length,0.2684563467556136
Total Length of Fwd Packets,0.26361970847795557
Subflow Bwd Bytes,0.18968539469665366
Avg Bwd Segment Size,0.13846847072578714
Subflow Bwd Packets,0.13185299888688878
Active Min,0.1315677399808525
Idle Mean,0.12945546838774788
Bwd Packet Length Max,0.12923640792025057
Fwd Header Length.1,0.12812751722531077
Avg Fwd Segment Size,0.1243850562408275
FIN Flag Count,0.09232236071903772
Idle Std,0.03703424869962221
Active Mean,0.036319938203292754
Active Max,0.028826944898685453
Subflow Fwd Packets,0.019097789050141013
Active Std,0.008508026178738547
CWE Flag Count,0.00024336166989772132
Fwd URG Flags,0.0002290224218883875
Bwd URG Flags,0.0
SYN Flag Count,0.0
Fwd PSH Flags,0.0
Bwd PSH Flags,0.0
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
